UNIQUE_ID,Hire
244933794,0
245212568,1
245043129,1
245109906,1
245181937,1
245160450,1
242301971,1
245103618,0
245037442,1
245171396,1
245125053,1
245061861,0
245027842,0
245085559,1
245179298,1
245259279,1
245156612,1
245260360,1
244956548,1
245096151,0
245226499,0
244961587,1
245130013,0
245157299,1
245085023,1
245166324,1
245086817,0
245094068,0
245180089,1
245185561,0
245159806,0
245033187,1
245216837,1
245115341,1
245219861,1
242123170,0
245145699,0
245150929,1
245089635,1
245192684,1
245191598,1
244941406,1
245075574,1
244950168,1
245038356,0
245122170,0
245112344,0
245160706,1
245165734,0
245141551,0
244984511,0
245185719,1
245090400,0
245117218,1
245080023,1
245084645,1
245146910,0
245196496,0
245155518,1
245067450,0
245033144,1
245081195,0
245171549,1
245133624,1
245133666,1
245037781,1
244989845,1
245129244,1
244972216,0
245224739,0
245171707,1
245100055,1
245091541,1
245212741,0
244978941,1
244997072,0
245119120,1
245274386,1
245201938,1
245156413,1
245139162,1
244937136,0
245108003,1
245066685,1
245217078,1
245101924,1
245274271,0
245118453,1
245103431,1
245081525,0
245103289,1
244973486,1
245180993,1
245205747,0
245161977,0
245146219,1
245041314,1
245112739,1
245084090,1
245187516,1
245161496,1
245087299,1
245023532,1
245207750,1
245134457,1
245133544,0
244962788,0
244978580,1
245062316,0
245219245,1
245202457,0
245191639,1
245084724,0
245170080,0
245140866,1
245155926,0
245135734,1
245278411,1
244985666,1
245096593,0
245017414,1
245240363,1
245140681,0
245074901,1
245064598,1
245192188,1
245125157,0
245122625,0
245187519,1
245230656,0
245235495,0
245100492,1
245045668,1
245123847,1
245242303,0
244929932,1
245217109,1
245060099,1
245148232,0
245066309,1
245108951,1
244984666,1
245179347,0
245086156,1
245260439,0
245052320,0
245092816,1
245194959,1
245067471,1
244533694,0
245178847,0
245177051,1
245154603,0
245176277,1
245108253,1
245179128,1
245087156,1
244961453,1
245113588,0
245251641,1
245007355,0
245008120,0
245086101,1
245134095,0
244964866,1
245086075,1
245207900,0
245061023,1
245236012,0
245160525,0
245095602,0
244953974,1
244942310,1
245248745,1
245030976,0
245202022,1
244410361,1
245190921,1
245081120,1
244981928,0
245081002,0
245097156,0
245202667,0
240552567,0
245171170,1
245098358,0
245123647,1
245037991,0
245129619,1
245206968,0
245201829,1
245207622,0
245187396,0
245134003,0
245160608,1
245102812,1
245100351,1
235440469,1
244960543,0
245122791,0
245236878,0
245113043,0
245107110,1
238279727,0
245081327,0
245098533,1
242701989,0
245198315,1
245162029,0
245150592,0
245167396,1
245245339,1
245174356,0
245060428,0
245089141,0
245033641,0
245119710,0
245162135,1
245087592,1
245112206,1
245146753,1
244980762,1
245052715,0
245108959,1
245141516,1
245185367,1
245140220,1
245269761,1
245070807,0
245156732,1
245043700,1
245108955,0
245109529,1
245146571,0
245007964,0
245201215,0
245136733,1
245129209,0
245124740,1
244961199,1
245156058,1
245226345,0
245219596,0
245185380,1
245206276,0
241590422,1
245170811,1
