features,group_1,group_2,group_3,group_4,group_5,group_6,group_7,group_8
Overall_Rating,0.4170707321217091,0.2641357896892465,-0.250972014230881,-0.1967106429064122,0.29280433296284647,0.20169347265990648,-0.2865967688205563,-0.27321488194030596
Technical_Skills,0.39057266464125356,0.24232500033363885,-0.2511695995448894,-0.1986868904881338,0.29255804735477686,0.20280423170290798,-0.27077300008333455,-0.2400056271559403
Teamwork,0.40402054234899726,0.2604377620346617,-0.243097318196445,-0.19764465036383075,0.2874171369409517,0.18974158896254972,-0.2743045137759729,-0.2650227125781632
Customer_Service,0.39393326186452987,0.24796032514880018,-0.23978173893977917,-0.19965677864878278,0.2756857977871703,0.19540569215910591,-0.25531727515572916,-0.25966323621928755
Hire_Again,0.344540428617625,0.2066053897679061,-0.1454581949163548,-0.14859156788300787,0.22734204775116518,0.1460163854214068,-0.25150507184882226,-0.264098798202655
SJ_Most_1,0.026091037670920754,0.0036487111218549513,-0.005186410766701425,-0.014315782995096619,0.013739881928208962,0.016304626765252083,-0.004157191308047497,-0.03161747215187686
SJ_Least_1,-0.01659810105219101,0.014498902579006281,-0.0006192340638041588,0.006415654812130755,-0.003984008969966252,0.018658421969527807,-0.012079971521037866,0.006768745170041441
SJ_Time_1,-0.03082121576823499,0.015813181221953916,-0.020691121284342064,0.05147435408639908,-0.0130567796310474,0.02276588188862475,-0.004833443528616111,7.833767677544693e-05
SJ_Most_2,-7.979085268503428e-05,0.0225561085700483,-0.014086846074663794,-0.0112355430874286,0.002756101065331051,0.015491679106989682,-0.011629789336220568,0.010569992388550354
SJ_Least_2,0.001927102480490243,-0.010401696587962205,0.010976122131504814,-0.007517574759178458,-0.0035941628796541795,0.002264943364333568,0.00778170445558605,-0.007032567484352047
SJ_Time_2,-0.010662195175491964,-0.002928059866663458,-0.008856979237277279,0.006563466899539643,-0.009429857101439166,0.0005514931489775455,-0.009465593045595818,0.038887838764506286
SJ_Most_3,-0.03144117186103032,-0.006301821932426101,0.014566125702104363,-0.006135481225431949,-0.016324818957095352,-0.01171110779148668,0.016335170872663153,0.03397111609977735
SJ_Least_3,-0.007472691504205067,0.0050248859602188825,-0.015005046220601705,0.02455127365846161,0.0016277244272138672,0.0026099977681417206,0.00568220935107179,-0.010732694499712453
SJ_Time_3,-0.029232672263191727,0.01608712586172123,0.006031841217975417,0.06125253383063547,-0.034242916065792675,0.0018012812279079035,-0.024233360291773066,0.010062724264252657
SJ_Most_4,-0.01610876407168524,0.018733258781274454,-0.005363882447390245,0.010699348355660322,-0.008053945927613597,-0.007376439396314214,0.011118995519058157,-0.001343578856423563
SJ_Least_4,0.029346087328193576,-0.038764443743876054,0.033231750505160126,-0.03520887563433095,0.01759080820961511,-0.008607798194704114,0.02431166197243609,-0.04700590351986772
SJ_Time_4,-0.019043000111619086,0.0023960190660914896,0.00045055588062643034,0.022382909306472194,-0.02740544243573587,0.00530141610504676,-0.0056222114307073485,0.025509692618896698
SJ_Most_5,-0.0034327896223203206,0.01729060749280814,-0.0018085363431347276,0.00018982009391829702,-0.008191112964703245,0.012662402726112071,-0.020514452909288196,0.014170777978579147
SJ_Least_5,0.027718599699147403,-0.028164790575663012,0.01805816862393376,-0.042057963368064444,0.022161937587367078,-0.013335036267477045,0.033126657308066715,-0.03922081852086861
SJ_Time_5,-0.021339688004440912,-0.0012648620498649432,0.02070478636159456,0.03209845108424124,-0.02378958031222769,0.023769946722094277,-0.024713916882431387,0.002363480827410055
SJ_Most_6,0.01536293394206165,0.013066733927878042,-0.016584485032887345,0.004862356429340542,0.00524499719623437,0.020485288637657917,-0.018348222117452094,-0.010331205650689283
SJ_Least_6,-0.02001644109735439,0.026345015271781146,-0.030552290131901114,0.022609075511915537,0.01131928613296636,0.013122128749281434,-0.015846188263548,0.01652976217743593
SJ_Time_6,-0.01399462967591285,0.026722746438024435,0.006957859573790017,0.07247094044554594,-0.0487082429104667,-0.0146818034245518,-0.03722263685866979,0.009890178963388275
SJ_Most_7,-0.006885877083410095,0.005778761848922637,-0.018060933173152223,0.0029366109489051477,-0.0017668426758642324,0.01672791801026879,-0.023755975571934346,0.041014279790556774
SJ_Least_7,0.014993637760231965,0.017334073669654587,-0.0003216692647708772,-0.0022761850349782373,-0.0056271409780064546,-0.01618157830329501,-0.009728495754650856,-0.002565593438682675
SJ_Time_7,-0.022803447390235817,0.000455311340230595,0.013964250762853223,0.02031605430710528,-0.018945283478083497,-0.000783170733547714,-0.02534582816838949,0.0355790627839567
SJ_Most_8,0.002314661632720855,-0.0042742619973484535,0.010067741550583598,0.0039189592042456495,-0.0007003229848545445,0.01403304177606069,0.0011570925797449358,-0.025805170029971465
SJ_Least_8,0.03768736382606856,0.014867967044745013,-0.0038111364119265386,-0.02920522344885752,0.026163402334905102,-0.012659849277062728,-0.020180436080125666,-0.015289974301237269
SJ_Time_8,-0.011590422230554832,0.000933414507753159,0.017485345382412327,0.014271352494913746,-0.015212669665921602,0.004178297803984678,-0.01242306188700903,0.0019189377281826068
SJ_Most_9,0.016963783273816826,0.015528678941147171,-0.0077796011833371845,-0.00041433539119207705,0.009591525956019527,-0.007989642490052346,-0.020098166441310406,-0.0031883491012482004
SJ_Least_9,-0.022799321781303165,-0.010980518724054327,0.0021576348082016934,0.008631892952406421,-0.0014223774569902016,0.01134530604764217,-0.0018184454094363057,0.020678043422724113
SJ_Time_9,-0.01443707045279125,0.0038797041153212438,0.004680646209320039,0.004382881509576828,0.0025577227216694197,0.00027976818550730603,-0.009721195807654178,0.012091729350151006
Scenario1_1,0.019542022615778618,0.019346460713643317,0.003494821874812976,-0.020425888137569542,0.018383655884283708,-0.0035872027399760876,-0.0009003362958860776,-0.03688061513452101
Scenario1_2,-0.01921489080192949,-0.003874880910704326,-0.01128319378179401,0.03389929891727329,-0.00649682689930099,0.01001510074629904,-0.0008458932643560461,0.006637266524568683
Scenario1_3,-0.0026209641653145953,-0.007149530678515098,0.006951658932373634,0.011244726395927732,0.010659796881311363,1.4404575424266809e-05,-0.011554438037407223,-0.007314237051873895
Scenario1_4,-0.0025752048324097867,-0.0029585826094947866,-0.030503028344323148,0.007343753384905956,0.005260792015118555,0.01704572945517547,0.0036220296932135297,0.016520564483705626
Scenario1_5,0.028480529848636707,-0.007541230637615647,-0.0022803160706865366,-0.013103095517463872,0.010565558350843132,0.0013476925350239953,0.0003263923082438866,-0.022126664512904085
Scenario1_6,-0.006034305786769819,0.01703106199057027,0.000694863800670444,-5.955163528662834e-05,0.0017597715223279487,0.00014470910659964754,-0.006068216047830009,-0.002881978325892204
Scenario1_7,-0.04155458870979331,0.0030363614096678114,-0.019116010761831618,0.048758908387230064,-0.03376766292006682,-0.0031443460965540314,0.017475424629480422,0.034776145619746186
Scenario1_8,-0.021229830512725152,0.01040085179710741,-0.0026455098321658908,0.036426730526506655,-0.015001869282231952,0.01634637553529157,-0.017909508820196002,0.006655956584723776
Scenario1_Time,-0.05504563628305628,-0.006972613953302159,0.00418025883593367,0.08877081407436159,-0.059995404604300945,0.0003144780903153836,-0.01643337044774246,0.0504912746415447
Scenario2_1,0.0274029691156108,0.0018742309917534339,0.013319702365484373,-0.04531124738125122,0.031609257343276624,0.004528035751720954,0.014031784811394943,-0.05363226132491561
Scenario2_2,-0.019055913008560965,-0.0030201751120832766,-0.02274809196605021,0.05567727556099263,-0.01796699573027747,-0.01023338307234602,-0.02327131157950504,0.04834004454318945
Scenario2_3,-0.02110084678107551,0.02174994854832673,-0.006400050031742955,0.015107407489943521,-0.011228467950333365,-0.007945685687603265,0.006484670355159132,0.007514989235192076
Scenario2_4,-0.02218241958308927,0.0016533899002373642,-0.024169081183757865,0.04024034239872776,-0.0017561554135509987,0.006509791201122265,-0.02513344323866073,0.04143005826342837
Scenario2_5,0.008291867433542762,0.0004536653714434808,0.011421146001501774,-0.04018636465136226,0.0207185554248042,0.008924305050379099,0.013202326828569571,-0.024628027695524364
Scenario2_6,0.006326847818333458,0.004057176136282295,-0.012298333409732277,0.021449282837131135,-0.002648888753681992,0.0009181412037393664,-0.019634034798572175,0.007715348863384113
Scenario2_7,-0.04403573953497523,0.023613066906430252,-0.028550106301573383,0.05441182646564699,-0.03180677885116237,0.0007054234195240133,1.6490694455703744e-05,0.04230578242601909
